SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:49,95.08155,62311,655.3427032,65358,687.3888783,7474.676771,86.45621303,135.6737513,102,54,1.168467256,0.944683424,0.637236106,670.5858142,25.89567173,45.06527704,48.811292,1.49506,-0.43397387,1.682528938,0.574625819,0.001053454,0.032456951,0.027624168,0.026854,0.026822,0.071186682,0.024714815,1.174947648,Benign
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:50,122.309318,93828,767.1369732,101232,827.6720176,10458.1186,102.2649432,141.2454743,114,54,0.799261412,0.853131793,0.724022796,708.4658776,26.61702233,52.28790285,48.830314,31.719656,0.389704243,0.772747853,0.509047425,0.001169641,0.034200013,0.024387092,0.0210435,0.026981,0.293297421,-0.07584524,1.402381756,Benign
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:52,120.958413,38784,320.6391274,38236,316.1086447,7300.293933,85.44175755,133.7152778,89,54,1.570026614,0.932977973,0.638982762,1358.911235,36.86341322,50.31611371,39.770747,0.417528,0.8581978,1.353607313,0.732636337,0.000785155,0.028020624,0.029238467,0.0269215,0.026855,0.248063714,0.085061157,0.958347923,Benign
192.168.20.205,9.9.9.11,50224,443,30-03-2020 19:23,127.502031,952325,7469.096708,1334141,10463.6843,21708.41613,147.3377621,178.7698202,165,165,0.280372526,0.093457509,0.824175814,1036.272948,32.19119364,53.2370604,50.896862,0,0.218090553,1.653777148,0.604676393,0.001299311,0.036045954,0.01240731,0.007977,2.30E-05,0.368721827,0.343570045,2.905219095,Malicious
192.168.20.205,9.9.9.11,50230,443,30-03-2020 19:24,36.109819,17234,477.2663081,28476,788.594371,19924.29061,141.1534293,157.6206897,165,68,-0.156835942,0.634916843,0.895526023,27.87837282,5.279997426,3.037201041,2.0487055,0,0.561645468,0.57522775,1.73844186,0.01474346,0.121422649,0.034107563,0.01533,0.000341,0.463938895,0.278091142,3.559991911,Malicious
192.168.20.205,9.9.9.11,50232,443,30-03-2020 19:25,120.044984,177479,1478.43745,388205,3233.829412,10822.04623,104.0290643,177.7203896,165,68,0.366831798,1.054708992,0.585352444,1264.292491,35.55689091,59.13091518,59.120644,0,0.000866598,1.662994533,0.601324887,9.752E-05,0.009875223,0.016724565,0.015431,0.015272,0.39297284,0.147091849,0.590462178,Malicious
9.9.9.11,192.168.20.205,443,50224,30-03-2020 19:25,14.978902,346,23.0991564,228,15.22140942,805.7142857,28.38510676,82,68,68,1.479649182,0.493216394,0.346159839,27.42684897,5.23706492,12.82813029,14.963575,0,-1.223268041,2.449488498,0.408248498,5.29E-10,0.000023,0.000051,0.000051,2.80E-05,0,1,0.450980392,Malicious
192.168.20.205,9.9.9.11,50232,443,30-03-2020 19:27,110.474569,156057,1412.605647,345058,3123.41567,10108.6971,100.5420166,178.7780949,165,68,0.411114538,1.101808962,0.562384428,1030.275669,32.09790755,56.20682254,57.549461,0,-0.12548841,1.751105503,0.571067819,0.000121283,0.011012834,0.017521275,0.015522,0.015398,0.544621444,0.192800072,0.628540661,Malicious
192.168.20.207,1.1.1.1,33926,443,01-04-2020 00:44,121.150106,42773,353.0578834,72102,595.1459919,13364.25937,115.6038899,125.2726281,87,56,0.993200873,0.599224024,0.922818429,981.8788891,31.33494677,64.13404853,65.521304,0,-0.132815493,2.046725945,0.488585198,0.365111567,0.604244626,0.156678538,0.0019375,5.00E-06,0.76827016,0.259288261,3.856588346,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:46,120.653838,78776,652.909193,46073,381.8610395,7979.98265,89.33074862,121.5666991,87,87,1.160855573,0.386951858,0.734829104,1199.921257,34.63987958,56.37114102,55.775982,0,0.051543974,1.627348066,0.61449669,8.72E-09,9.33601E-05,5.37617E-05,0.000037,2.80E-05,0.538614371,0.27593902,1.736554534,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:48,120.71868,78719,652.0863217,46047,381.4405525,8141.129962,90.22821046,121.6042885,87,87,1.150558844,0.383519615,0.741982142,1213.045827,34.82880743,56.54462935,55.779799,0,0.065879117,1.623501737,0.615952529,8.74E-07,0.000934731,0.000110021,0.000032,2.40E-05,0.25040834,0.092028061,8.495894942,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:50,120.645723,78808,653.2183491,46118,382.2597176,8648.83376,92.99910623,122.4764706,87,87,1.144413275,0.381471092,0.759322226,1247.963251,35.32652333,54.65793341,55.694161,0,-0.087998548,1.547220849,0.646320143,1.55839E-06,0.001248356,0.000127661,0.000035,2.50E-05,0.222679202,0.082236938,9.778680762,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:52,120.652326,77281,640.5263998,46015,381.3851048,11417.27333,106.8516417,125.300813,87,87,1.075345565,0.358448522,0.852760961,1192.584516,34.533817,58.20528745,55.9657125,0,0.194554945,1.685457691,0.593310651,1.06E-09,3.24953E-05,4.36336E-05,0.0000335,1.70E-05,0.935545044,0.819613331,0.744731879,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:54,30.951614,23514,759.7019012,13884,448.5711149,8107.633456,90.0423981,121.0291262,87,87,1.133770099,0.377923366,0.743972967,104.4028286,10.21777024,14.27304807,15.469587,0,-0.351311168,1.396884813,0.71587864,3.64E-08,0.00019075,7.51429E-05,0.000037,2.10E-05,0.599889169,0.283842691,2.538491718,Malicious
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:54,110.50108,61993,561.0171412,69757,631.2788979,8499.282518,92.1915534,139.123548,114,54,0.817543922,0.923333482,0.662659591,1118.135436,33.43853221,51.69372612,34.882495,13.280934,1.508250812,1.148758321,0.646858617,0.000411045,0.020274253,0.019924878,0.019268,0.026918,0.097198893,-0.344926237,1.017534581,Benign
176.103.130.131,192.168.20.191,443,50749,14-01-2020 15:56,54.229891,83641,1542.341289,76804,1416.266907,8052.745751,89.73709239,138.9134199,114,114,0.832880337,0.277626779,0.645992968,341.6966133,18.48503755,36.43561879,49.822561,7.342519,-2.172612661,1.573872907,0.507334256,0.079078661,0.281209284,0.025930264,0.0000465,2.10E-05,0.276133458,0.092135166,10.84482918,Benign
192.168.20.191,176.103.130.131,52491,443,14-01-2020 15:57,145.460721,54084,371.811714,63843,438.9019906,16074.98073,126.7871473,141.0610048,89,54,1.231852105,0.686670586,0.898810749,1519.784705,38.98441619,52.96258765,47.4924405,53.808413,0.420948755,-0.021696499,0.736074613,0.000643045,0.025358333,0.025074989,0.026813,0.026903,-0.205614226,-0.072087204,1.011299896,Benign
192.168.20.191,176.103.130.131,52742,443,14-01-2020 15:59,0.15541,1718,11054.62969,7411,47686.76404,234126.0251,483.8657098,351.1153846,129.5,54,1.374030315,0.614045134,1.378081768,0.001067941,0.032679372,0.068209346,0.0609,0.087941,0.671005508,-0.603795385,0.479104017,0.000154883,0.012445183,0.013210571,0.010833,2.30E-05,0.573130521,1.059652662,0.942062438,Benign
192.168.20.191,176.103.130.131,52742,443,14-01-2020 16:00,0.027001,55,2036.961594,66,2444.353913,30.25,5.5,60.5,60.5,55,0,1,0.090909091,0.000182264,0.0135005,0.0135005,0.0135005,0,0,1,1,0.00E+00,0,0.027001,0.027001,0.027001,-10,-10,0,Benign
192.168.20.191,176.103.130.131,52491,443,14-01-2020 16:00,44.649554,32285,723.0755317,36193,810.601602,8371.950254,91.49836203,139.7510204,114,54,0.844310865,0.937186399,0.654724107,193.9634542,13.9270763,23.25505674,23.0352925,0.644233,0.047338918,1.623515464,0.598883781,0.000664201,0.025772099,0.021312569,0.0207865,0.000203,0.061236995,0.819086127,1.209244145,Benign
192.168.20.191,176.103.130.131,52742,443,14-01-2020 16:00,0.046455,55,1183.941449,66,1420.729738,30.25,5.5,60.5,60.5,55,0,1,0.090909091,0.000539517,0.0232275,0.0232275,0.0232275,0,0,1,1,0.00E+00,0,0.046455,0.046455,0.046455,-10,-10,0,Benign
192.168.20.191,176.103.130.131,52742,443,14-01-2020 16:01,44.890412,163,3.631064914,357,7.952700456,168.25,12.97112177,65,60,54,1.156415017,0.848037679,0.19955572,377.230735,19.42242866,33.65413675,44.863056,44.863056,-1.731336402,-0.577112134,0.577118611,9.00E-12,0.000003,0.027021,0.027021,0.027018,0,1,0.000111025,Benign
192.168.20.191,176.103.130.131,52491,443,14-01-2020 16:01,91.338058,8090,88.57206051,7805,85.45178397,6158.022444,78.47306827,125.1574803,89,60,1.382288769,0.830316461,0.626994632,140.508574,11.85363126,78.94149242,81.961764,0,-0.764391481,6.659688556,0.150157172,0.001596206,0.039952545,0.034820536,0.026919,0.026899,0.593319079,0.19827362,1.147384557,Benign
192.168.20.191,176.103.130.131,52491,443,14-01-2020 16:03,121.332889,53598,441.7433759,59634,491.4908109,8309.003436,91.15373517,136.2599278,89,54,1.555391922,0.902430686,0.668969496,1017.683019,31.90114448,57.25040046,55.498051,78.545984,0.164791842,-0.667549202,0.557221333,0.000819217,0.028621969,0.026188825,0.026823,0.026913,-0.066470809,-0.025301374,1.092907715,Benign
192.168.20.205,9.9.9.11,50196,443,30-03-2020 19:21,33.217805,1875,56.44563209,4965,149.4680338,123393.75,351.2744653,213.75,76,68,1.176430515,0.414917719,1.643389312,170.411992,13.05419442,7.596665375,0.0664595,0,1.730525599,0.581932912,1.718411142,5.94175E-05,0.007708277,0.0095382,0.015238,7.60E-05,-2.21831683,1.227537662,0.808147945,Malicious
192.168.20.205,9.9.9.11,50200,443,30-03-2020 19:21,33.394746,1807,54.11030825,4895,146.579944,141408.7733,376.043579,223.4,76,68,1.175927538,0.413249976,1.683274749,179.7711989,13.40787824,8.1664656,0.065083,0,1.812676649,0.609079636,1.641821431,5.47417E-05,0.007398762,0.010648444,0.015451,6.30E-05,-1.94730788,1.430704906,0.694820881,Malicious
192.168.20.205,9.9.9.11,50204,443,30-03-2020 19:21,33.566749,1874,55.82905869,4896,145.8586293,126670.5598,355.9080778,218.3870968,76,68,1.200201167,0.42254477,1.629712025,177.9029519,13.33802654,7.962772194,0.069783,0,1.775297681,0.596997777,1.675048113,6.14037E-05,0.00783605,0.009673,0.015312,4.00E-06,-2.158868212,1.23391244,0.810095146,Malicious
192.168.20.205,9.9.9.11,50208,443,30-03-2020 19:21,33.898975,1875,55.31140691,4964,146.4351061,123395.4521,351.2768882,213.71875,76,68,1.176155517,0.414825896,1.643640945,177.5982955,13.32660105,7.81039875,0.065632,0,1.743452825,0.586075828,1.706263851,0.000112165,0.010590821,0.0113229,0.0153745,7.20E-05,-1.147673107,1.062325613,0.93534524,Malicious
192.168.20.205,9.9.9.11,50212,443,30-03-2020 19:21,33.78864,1807,53.47951264,4828,142.8882607,145520.371,381.4713239,228.7931034,76,68,1.201608828,0.421507708,1.667320029,188.0697403,13.71385213,8.584183138,0.063828,0,1.863886614,0.62594981,1.597572176,4.67137E-05,0.006834739,0.01186475,0.0153885,7.00E-06,-1.546693938,1.734923499,0.576054228,Malicious
192.168.20.205,9.9.9.11,50216,443,30-03-2020 19:21,33.254292,1807,54.33885046,4896,147.2291156,141502.7789,376.1685512,223.4333333,76,68,1.175802705,0.413201297,1.683582953,178.3899001,13.3562682,8.127751733,0.0676315,0,1.810412935,0.608534631,1.643291852,5.2041E-05,0.007213942,0.010365778,0.015237,4.20E-05,-2.025753386,1.431086959,0.695938286,Malicious
192.168.20.205,9.9.9.11,50220,443,30-03-2020 19:21,33.943987,1874,55.20859998,4963,146.211463,123398.5381,351.2812806,213.65625,76,68,1.17560705,0.414642789,1.644142311,178.1050495,13.34560038,7.825968938,0.068792,0,1.743760501,0.586408158,1.705296876,7.68267E-05,0.008765084,0.0102344,0.015168,2.10E-05,-1.688608959,1.16523693,0.856433633,Malicious
192.168.20.205,9.9.9.11,50224,443,30-03-2020 19:21,91.16658,861688,9451.796919,1262796,13851.52322,4726.233299,68.74760577,162.0382885,165,68,-0.129242823,1.367877287,0.424267662,612.5137851,24.74901584,48.43406961,48.406305,0,0.003365541,1.957009924,0.510983612,0.000207049,0.014389214,0.011570999,0.007009,1.70E-05,0.951128923,0.802962494,1.24355847,Malicious
192.168.20.191,176.103.130.131,52491,443,14-01-2020 16:05,112.359885,56840,505.8744943,60236,536.0988043,8218.834998,90.65779061,135.8190255,89,54,1.549310607,0.902504076,0.667489626,1127.622569,33.58009186,34.36957621,25.3957995,72.245557,0.801705077,-1.127929636,0.977029558,0.001352228,0.036772658,0.031304765,0.026844,0.026952,0.363919687,0.118369598,1.17466648,Benign
176.103.130.131,192.168.20.191,443,52491,14-01-2020 16:07,135.244217,69610,514.6985324,65101,481.3588443,8353.123128,91.39542181,136.6237323,89,54,1.563220497,0.904024847,0.668957145,903.7430492,30.06231942,50.51431046,44.1063295,20.505601,0.639469716,0.998216706,0.59512481,0.266141259,0.515888805,0.079059159,0.000042,2.10E-05,0.459501105,0.153207742,6.525351566,Benign
192.168.20.191,176.103.130.131,52491,443,14-01-2020 16:09,121.185931,35194,290.4132494,37434,308.8972432,7686.456414,87.67243816,136.518797,114,54,0.770554491,0.941217089,0.642200489,1166.565407,34.15502024,56.05765245,62.002614,76.861315,-0.522174619,-0.609095307,0.609283813,0.000738135,0.027168645,0.027961833,0.0269115,0.026917,0.115979284,0.038457322,0.971633178,Benign
192.168.20.191,176.103.130.131,52491,443,14-01-2020 16:11,98.552574,78615,797.6960602,81323,825.1737798,7709.702597,87.80491215,135.4259102,89,54,1.586217984,0.927350284,0.648361248,707.6147813,26.6010297,54.34677114,56.887361,29.662668,-0.2865216,0.927937881,0.489468448,0.000778131,0.027894992,0.022305926,0.020144,3.50E-05,0.232506873,0.79838438,1.250564184,Benign
176.103.130.131,192.168.20.191,443,52491,14-01-2020 16:13,33.056349,13565,410.3598979,11354,343.4741084,9409.971879,97.00500955,139.994382,89,54,1.577064388,0.886494238,0.692920731,102.984047,10.14810559,12.20385177,7.854821,33.028679,1.285667773,-2.052090122,0.831549398,0.000428867,0.020709093,0.012647657,0.000041,2.00E-05,1.826249576,0.609763906,1.637385666,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:13,114.906691,57076,496.7160703,68354,594.865272,17033.21637,130.5113649,146.5303738,114,54,0.747759565,0.708983267,0.890677895,1178.686214,34.33199985,46.67888605,49.605084,0.054805,-0.255697131,1.358035688,0.735493127,0.001067014,0.032665175,0.024943528,0.025127,0.02696,-0.016850201,-0.061731541,1.309565139,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:15,96.750105,42044,434.5628359,44920,464.2889018,7899.639299,88.87991505,133.7907692,89,54,1.51184109,0.897736785,0.664320233,488.384424,22.09942135,39.33141866,35.985846,1.445943,0.454162026,1.714319803,0.561877047,0.001700283,0.041234491,0.033548622,0.026931,0.026952,0.48146264,0.159978264,1.229096392,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:17,105.519335,61248,580.4433851,63497,601.7570145,8029.012746,89.6047585,135.1516793,89,54,1.545175058,0.905662608,0.662994045,670.7840598,25.89949922,53.89671554,56.66998,26.271622,-0.321233754,1.066626552,0.480539472,0.001150818,0.033923715,0.028697653,0.026865,0.026891,0.162068327,0.05325635,1.18210765,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:19,110.614927,27297,246.7750126,29436,266.1123666,7805.691446,88.34982425,135.0785714,89,54,1.564640512,0.917699295,0.654062471,1472.847013,38.377689,55.28207695,41.5251305,22.906544,1.075386257,0.843602984,0.694215759,0.000800653,0.028295806,0.027008628,0.0268555,0.026912,0.016235046,0.00341492,1.047658044,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:20,121.772998,67491,554.2361698,73742,605.569389,9569.621606,97.82444278,141.3743744,114,54,0.839494924,0.893175283,0.691953144,1079.693003,32.85868231,53.07471368,52.747025,20.96734,0.029917999,0.977135156,0.619102394,0.001651844,0.040642882,0.028947976,0.026839,0.026905,0.155671251,0.050266516,1.403997352,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:22,121.676184,38991,320.4489056,41627,342.1129644,8195.51717,90.52909571,135.492437,89,54,1.540690425,0.90017951,0.668148701,1185.211522,34.42690115,67.15719193,70.625962,89.831993,-0.302272637,-0.658636134,0.512631636,0.00101741,0.03189687,0.029558617,0.0269335,0.027005,0.246900452,0.080058551,1.079105616,Benign
192.168.20.191,176.103.130.131,54640,443,14-01-2020 16:24,121.249908,72213,595.5715859,80570,664.4953496,10462.64687,102.2870807,139.9111722,89,54,1.493184823,0.839902474,0.731085867,1071.717512,32.73709687,50.99465048,45.521087,15.505021,0.50159275,1.084079924,0.641971198,0.001160516,0.034066342,0.028370153,0.026885,0.026986,0.130787731,0.040631107,1.200781038,Benign
192.168.20.205,9.9.9.11,50172,443,30-03-2020 19:20,33.215159,1874,56.42002195,4963,149.4197273,123398.5381,351.2812806,213.65625,76,68,1.17560705,0.414642789,1.644142311,170.5877277,13.06092369,7.609841313,0.0706335,0,1.731701675,0.582641894,1.716320112,7.73902E-05,0.008797172,0.0105613,0.015285,6.70E-05,-1.61086996,1.19291746,0.832962981,Malicious
192.168.20.205,9.9.9.11,50176,443,30-03-2020 19:20,34.117514,1807,52.96399966,4897,143.5333184,141596.8489,376.2935674,223.4666667,76,68,1.175677817,0.413152602,1.683891262,187.7628158,13.70265725,8.413205367,0.071341,0,1.826331393,0.613983493,1.628708281,5.40513E-05,0.007351956,0.010487889,0.015274,2.30E-05,-1.9529949,1.423415528,0.700994878,Malicious
192.168.20.205,9.9.9.11,50180,443,30-03-2020 19:20,33.391113,1807,54.11619553,4827,144.5594221,145422.1141,381.3425155,228.7586207,76,68,1.201743429,0.421559659,1.667008283,183.7988576,13.55724373,8.452545483,0.06211,0,1.856668431,0.623470792,1.603924375,6.29645E-05,0.00793502,0.010993889,0.015363,3.40E-05,-1.651833626,1.381204898,0.721766462,Malicious
192.168.20.205,9.9.9.11,50184,443,30-03-2020 19:20,33.829179,1806,53.3858655,4828,142.7170314,145522.8728,381.474603,228.7586207,76,68,1.201327319,0.421413692,1.667585693,188.3182581,13.72290997,8.589040483,0.066165,0,1.86320733,0.625890609,1.597723285,5.87464E-05,0.007664617,0.010779889,0.015271,2.40E-05,-1.75786121,1.403317159,0.711010783,Malicious
192.168.20.205,9.9.9.11,50188,443,30-03-2020 19:20,33.305931,1875,56.29627948,4964,149.0425234,123395.4521,351.2768882,213.71875,76,68,1.176155517,0.414825896,1.643640945,171.5706704,13.09849878,7.63572425,0.068343,0,1.73318669,0.582946518,1.715423233,5.67463E-05,0.007533016,0.0094948,0.0153105,9.00E-06,-2.316084266,1.259230023,0.793383333,Malicious
192.168.20.205,9.9.9.11,50192,443,30-03-2020 19:20,33.942944,1807,53.23639576,4897,144.2715163,141596.8489,376.2935674,223.4666667,76,68,1.175677817,0.413152602,1.683891262,185.8068145,13.63109733,8.351206233,0.0663445,0,1.82337376,0.612658396,1.632230956,5.14404E-05,0.007172198,0.010278333,0.015261,2.50E-05,-2.084158844,1.429594283,0.697797767,Malicious
